English,Slovenščina
Permittivity,Permitivnost
Phase equilibrium,Fazno ravnovesje
Phase,Faza
Photoelectric effect,Fotoelektrični pojav
Photon,Foton
Photonics,Fotonika
Physical constant,Fizikalna konstanta
Physical quantity,Fizikalna količina
Physics,Fizika
Piezoelectricity,Piezoelektričnost
Plasticity,Plastičnost
Position vector,Radij vektor
Potential energy,Potencialna energija
Power,Moč
Pressure,Tlak
Principle of relativity,Načelo relativnosti
Probability distribution,Verjetnostna porazdelitev
Probability,Verjetnost
Projection,Projekcija
Pulley,Škripec
Quantum electrodynamics,Kvanta elektrodinamika
Quantum field theory,Kvanta teorija polja
Quantum gravity,Kvanta gravitacija
Quantum mechanics,Kvanta mehanika
Quantum number,Kvantno število
Quantum state,Kvantno stanje
Radiation,Sevanje
Radioactive decay,Radioaktivni razpad
Radius of curvature,Radij ukrivljenosti
Radius,Radij
Reduced mass,Reducirana masa
Refraction,Lom
Refractive index,Lomni količnik
Relativistic mass,Relativistična masa
Resistivity,Specifična upornost
Rest frame,Mirovni sistem
Rigid body,Togo telo
Scalar,Skalar
Scale,Skala
Scattering cross section,Sipalni presek
Scattering,Sipanje
Series circuit,Zaporedno vezje
Shear force,Strižna sila
Shear modulus,Strižni modul
Shear strain,Strižna deformacija
Shear stress,Strižna napetost
Shell,Lupina
Solid angle,Prostorski kot
Solid-state physics,Fizika trdne snovi
Solubility,Topnost
Sound,Zvok
Special theory of relativity,Posebna teorija relativnosti
Speed of light,Hitrost svetlobe
Speed of sound,Hitrost zvoka
Speed,Hitrost
Spin,Spin
Standard deviation,Standardna deviacija
Standing wave,Stoječi val
State of matter,Faza snovi
Statics,Statika
Statistical mechanics,Statistična mehanika
Stiffness,Togost
Strain,Deformacija
Stress,Mehanska napetost
Sublimation,Sublimacija
Sum,Vsota
Superconductivity,Superprevodnost
Superconductor,Superprevodnik
Surface area,Površina
Surface tension,Površinska napetost
Surface,Površina
Temperature,Temperatura
Theory of relativity,Teorija relativnosti
Thermal conduction,Kondukcija
Thermal conductivity,Toplotna prevodnost
Thermal equilibrium,Toplotno ravnovesje
Thermodynamics,Termodinamika
Thermometer,Termometer
Time constant,Časovna konstanta
Time,Čas
Torque,Navor
Torsion coefficient,Torzijski koeficient
Total internal reflection,Popolni odboj
Trajectory,Tirnica
Transverse wave,Transverzalni val
Trigonometry,Trigonometrija
Triple point,Trojna točka
Uncertainty principle,Načelo nedoločenosti
Uniform circular motion,Enakomerno kroženje
Uniform motion,Enakomerno gibanje
Unit vector,Enotski vektor
Vacuum,Vakuum
Valence electron,Valenčni elektron
Vector space,Vektorski prostor
Vector,Vektor
Velocity,Hitrost
Viscosity,Viskoznost
Visible light,Vidna svetloba
Voltage,Električna napetost
Voltmeter,Voltmeter
Volume charge density,Volumska gostota naboja
Volume density,Volumska gostota
Volume,Volumen
Volumetric flow rate,Volumski pretok
Wave equation,Valovna enačba
Wave function,Valovna funkcija
Wave,Val
Wavelength,Valovna dolžina
Wave number,Valovno število
Wave vector,Valovni vektor
Weak interaction,Šibka interakcija
Wedge,Klin
Weight,Teza
Wheel,Kolo
Width,Širina
Work function,Izstopno delo
Work,Delo
Young's modulus,Youngov modul
